title,price,address,item_url,date,Вход,Отдельный вход,Общая площадь,Этаж,Высота потолков,Отделка,Мощность электросети,Отопление,Тип аренды,Минимальный срок аренды,Тип здания,Удалённость от дороги,Парковка,lat,lon,Арендные каникулы,Количество парковочных мест,Платежи включены,Аренда части,Планировка,Класс здания,city,street,total_price,price_per_meter,is_per_meter_price
"Свободного назначения, 51.4 м²",51400,"ул. Профессора Камая, 10к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_51.4_m_7326674499?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,1 час назад,с улицы,есть,51.4,1.0,3.1 м,без отделки,"10 кВт, можно увеличить",центральное,прямая,11 мес.,жилой дом,вторая линия и дальше,"на улице, бесплатная, подходит для грузового транспорта",55.749167,49.183903,,,,,,,Казань,ул. Профессора Камая,51400.0,1000.0,False
Свободного назначения,108900,"32-й комплекс, 9Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7362482013?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,1 час назад,с улицы,,72.6,1.0,2.5 м,офисная,220 кВт,,прямая,11 мес.,жилой дом,,на улице,55.72448349,52.37552643,есть,,,,,,Набережные Челны,32-й комплекс,108900.0,1500.0000000000002,False
Свободного назначения,1000,"ул. Баки Урманче, 15Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7369273206?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 часа назад,с улицы,,10.0,1.0,,чистовая,,,прямая,11 мес.,торговый центр,,на улице,55.63936996,51.81071854,есть,,,,,,Нижнекамск,ул. Баки Урманче,10000.0,100.0,True
"Теплое помещение свободного назначения, 108 м²",400,"ул. Кирова, 1с. Большие Бутырки",https://www.avito.ru/pestretsy/kommercheskaya_nedvizhimost/teploe_pomeschenie_svobodnogo_naznacheniya_108_m_7352852589?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,4 часа назад,с улицы,есть,108.0,1.0,3 м,чистовая,15 кВт,,прямая,6 мес.,административное здание,,"на улице, бесплатная, подходит для грузового транспорта",55.8280286484097,49.7291173150054,есть,,,,,,Большие Бутырки,"ул. Кирова, 1с.",43200.0,400.0,True
Склад (морской контейнер) в аренду,7000,"Индустриальный пр., 47Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sklad_morskoy_konteyner_v_arendu_7332125928?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,4 часа назад,с улицы,есть,15.0,1.0,2 м,без отделки,,,прямая,1 мес.,другой,,"на улице, подходит для грузового транспорта",55.71777362013451,52.43848561222113,есть,5.0,коммунальные,,,,Набережные Челны,Индустриальный пр.,7000.0,466.6666666666667,False
"Свободного назначения, 112 м²",45000,"Большая Покровская ул., 136Елабуга",https://www.avito.ru/elabuga/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_112_m_7326160269?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,есть,112.0,1.0,4 м,чистовая,,автономное,прямая,,другой,,"на улице, бесплатная",55.749268,52.095459,,,,,,,Елабуга,Большая Покровская ул.,45000.0,401.7857142857143,False
"В аренду на территории Яхт-клуба ""Аракчино"", на бе",120000,"2-я Старо-Аракчинская ул., 11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/v_arendu_na_territorii_yaht-kluba_arakchino_na_be_7373859338?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,есть,100.0,1.0,4 м,чистовая,"50 кВт, можно увеличить",,прямая,11 мес.,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.800686,48.967669,есть,50.0,,,,,Казань,2-я Старо-Аракчинская ул.,120000.0,1200.0,False
"Свободного назначения, 80 м²",144000,"ул. Горьковское Шоссе, 2Ак1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_80_m_7353905160?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,есть,80.0,1.0,5 м,без отделки,"20 кВт, можно увеличить",центральное,прямая,11 мес.,жилой дом,первая линия,"на улице, бесплатная",55.825502,49.04116,есть,,,,,,Казань,ул. Горьковское Шоссе,144000.0,1800.0,False
"Под магазин, офис, салон, услуги на 1 линии",65000,"Тэцевская ул., 4БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pod_magazin_ofis_salon_uslugi_na_1_linii_7352451714?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,6 часов назад,с улицы,,52.0,1.0,4 м,чистовая,50 кВт,,прямая,,жилой дом,,на улице,55.850403,49.065963,есть,,эксплуатационные,,,,Казань,Тэцевская ул.,65000.0,1250.0,False
"Свободное назначение 33м2, Ломжинская ул., 24А",80000,"Ломжинская ул., 24АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnoe_naznachenie_33m2_lomzhinskaya_ul._24a_7352956169?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,9 часов назад,с улицы,есть,33.0,1.0,2.8 м,чистовая,14 кВт,,прямая,,другой,,нет,55.766577,49.230471,есть,,,,,,Казань,Ломжинская ул.,80000.0,2424.242424242424,False
