title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип сделки,Арендаторы,Тип здания,Парковка,lat,lon,Высота потолков,Мощность электросети,Планировка,Готовность,Класс здания,Отдельный вход,Отопление,Удалённость от дороги,Количество парковочных мест,city,street,total_price,price_per_meter,is_per_meter_price
"Габ Пятерочка, ул. Пограничная",70000000,"Пограничная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_pyaterochka_ul._pogranichnaya_7346322324?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,4 часа назад,со двора,413.0,1.0,офисная,продажа,помещение сдано,другой,нет,55.847134,48.893271,,,,,,,,,,Казань,Пограничная ул.,70000000.0,169491.5254237288,False
Офис,7690000,"ул. Адоратского, 78Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_7353736206?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,6 часов назад,,33.0,1.0,офисная,продажа,,бизнес-центр,на улице,55.84494019,49.14818573,2.7 м,15 кВт,кабинетная,в эксплуатации,B,,,,,Казань,ул. Адоратского,7690000.0,233030.30303030304,False
"Готовый арендный бизнес на трафике, доход 180 и.руб./мес. с ежегодной индексацией",23950000,"Даурская ул., 42АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_na_trafike_dohod_180_i.rub.mes._s_ezhegodnoy_indeksatsiey_7353417002?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,9 часов назад,с улицы,110.6,1.0,офисная,продажа,,торговый центр,на улице,55.76602,49.181846,,,,,,,,,,Казань,Даурская ул.,23950000.0,216546.1121157324,False
Нежилое помещение первая линия,18900000,"ул. Академика Павлова, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/nezhiloe_pomeschenie_pervaya_liniya_7352274416?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,10 часов назад,с улицы,100.0,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.86491013,49.10289383,3 м,15 кВт,,в эксплуатации,,есть,центральное,первая линия,,Казань,ул. Академика Павлова,18900000.0,189000.0,False
"Продам складское помещение, 796.5 м²",39000000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_796.5_m_7366107521?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,796.5,1.0,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4.8 м,50 кВт,,,,есть,,,,Казань,Южно-Промышленная ул.,39000000.0,48964.21845574388,False
"Продам складское помещение, 1848.6 м²",79900000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_1848.6_m_7366196965?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,1848.6,1.0,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4 м,50 кВт,,,,есть,,,,Казань,Южно-Промышленная ул.,79900000.0,43221.8976522774,False
"Продам складское помещение, 647.4 м²",38000000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_647.4_m_7366221968?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,647.4,1.0,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4 м,50 кВт,,,,есть,,,,Казань,Южно-Промышленная ул.,38000000.0,58696.32375656472,False
Продаю складское помещение,39000000,"Транспортный пр., 2Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodayu_skladskoe_pomeschenie_7353640207?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,372.0,1.0,чистовая,продажа,,другой,на улице,55.717563,52.42206,,,,,,,,,,Набережные Челны,Транспортный пр.,39000000.0,104838.70967741935,False
"Свободное назначение, Лазарева ул., 3",10800000,"ул. Лазарева, 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnoe_naznachenie_lazareva_ul._3_7346276217?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,со двора,47.0,1.0,офисная,продажа,,жилой дом,на улице,55.820273,49.049775,,,,,,,,,,Казань,ул. Лазарева,10800000.0,229787.2340425532,False
Габ 900м2 на 1 линии,36000000,"ул. Азина, 23Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_900m2_na_1_linii_7383434997?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,900.0,1.0,чистовая,продажа,помещение сдано,другой,"на улице, бесплатная, подходит для грузового транспорта",55.87047958,49.24321747,3 м,30 кВт,,в эксплуатации,,есть,центральное,,5.0,Казань,ул. Азина,36000000.0,40000.0,False
