title,price,address,item_url,date
"Свободного назначения, 45 м²",1111,"Краснококшайская ул., 119Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_45_m_1295198445?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,15 мая 2019
Аренда рефконтейнера 26.5 м² на территории Базы,45000,"жилой массив Борисково, Техническая ул., 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_refkonteynera_26.5_m_na_territorii_bazy_1360581929?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,15 мая 2019
"Свободного назначения, 45.7 м²",80000,"ул. Шамиля Усманова, 90Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_45.7_m_1215457212?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,11 апреля 2019
Офисное помещение от 10 м²,300,"ул. Вацлава Воровского, 41Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_ot_10_m_1390309501?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,2 апреля 2019
"Офис, 19 м²",14000,"Вокзальная ул., 18Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/ofis_19_m_1529093310?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,29 марта 2019
"Свободного назначения, 25 м²",100,"ул. Ахмадиева, 6пгт. Джалиль",https://www.avito.ru/dzhalil/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_25_m_1593264135?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,14 марта 2019
"Офис, 15 м² Мензелинский тракт",850,"Мензелинский тракт, 48Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/ofis_15_m_menzelinskiy_trakt_1619478589?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,22 февраля 2019
"Свободного назначения, 6 м²",24990,"ул. Восстания, 100к88Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_6_m_1033824407?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,1 февраля 2019
Помещение свободного назначения,1200,"ул. Рауиса Гареева, 98Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_1652227716?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,10 декабря 2018
"Свободного назначения, 107 м²",107000,"ул. Гаврилова, 56к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_107_m_1487199550?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,27 ноября 2018
