title,price,address,area,link,date
Свободного назначения,130000,"Ленинградская ул., 22Авиастроительная, 6–10 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7279140871?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
"Офис, отдельные кабинеты, свободная парковка, 146",255500,"пр-т Ибрагимова, 32АЯшьлек, 6–10 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_otdelnye_kabinety_svobodnaya_parkovka_146_7246643974?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,19 марта 14:38
"Помещение 1 этаж, отдельный вход 124м",1200,"ул. Нурихана Фаттаха, 21/1р-н Кировский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_1_etazh_otdelnyy_vhod_124m_4030005445?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 июня 2024
"Офис, 75 м²",100000,"ул. Четаева, 4Козья Слобода, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_75_m_4233982180?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,31 мая 2024
"Помещение свободного назначения (Услуги, магазин, маркетплейс)",40000,"ул. Олега Кошевого, 16Авиастроительная, 11–15 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_uslugi_magazin_marketpleys_7257132111?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 недели назад
"Офис, 27 м²",39000,"ул. Достоевского, 57Суконная слобода, 16–20 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_27_m_7231424914?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,20 марта 08:50
"Свободного назначения, 123.8 м²",1200,"ул. Бари Галеева, 8Ак4р-н Советский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_123.8_m_3515556090?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,8 октября 2023
Свободного назначения,50000,"пр-т Победы, 90Проспект Победы, 21–30 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4422167717?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,9 сентября 2024
Отдельный вход на первой линии,13000,"Горьковское ш., 15Яшьлек, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelnyy_vhod_na_pervoy_linii_7267775898?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
"Торговая площадь, 20 м²",22000,"ул. Гагарина, 89Северный вокзал, 6–10 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_7306292547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
