title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип аренды,Тип здания,Парковка,lat,lon,Отдельный вход,Высота потолков,Мощность электросети,Отопление,Минимальный срок аренды,Удалённость от дороги,Аренда части,Планировка,Класс здания,Количество парковочных мест,Арендные каникулы,Платежи включены
"Теплый склад, производственное помещение",65000,"ул. Оренбургский Тракт, 130АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/teplyy_sklad_proizvodstvennoe_pomeschenie_7321992485?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,100 м²,1,чистовая,прямая,административное здание,на улице,55.732448,49.165388,,,,,,,,,,,,
Первая линия 135.2 м²,243360,"Чистопольская ул., 19АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_135.2_m_7300009318?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,135 м²,1,офисная,прямая,торговый центр,"на улице, бесплатная",55.81996,49.114858,есть,3.6 м,"50 кВт, можно увеличить",центральное,1 мес.,первая линия,,,,,,
Офисы с ремонтом в современном в Бизнес центре,1300,"ул. Адоратского, 78Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofisy_s_remontom_v_sovremennom_v_biznes_tsentre_7281623940?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,,18 м²,1,офисная,прямая,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",55.84494,49.148186,,,,,6 мес.,,возможна,"кабинетная, открытая",A,,,
"Торговая площадь, 75 м²",150000,"ул. Четаева, 35Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_75_m_7306419339?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,75 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.824597,49.121416,есть,2.6 м,15 кВт,центральное,12 мес.,первая линия,,,,5,,
Свободного назначения,79990,"ул. Лейтенанта Шмидта, 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7282111306?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,51 м²,1,чистовая,прямая,административное здание,"на улице, подходит для грузового транспорта",55.79033279,49.14809418,есть,2.5 м,10 кВт,,11 мес.,,,,,,есть,
"Сдам торговое помещение, 107.3 м²",107000,"ул. Гаврилова, 56к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_torgovoe_pomeschenie_107.3_m_7315689952?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,107.3 м²,1,чистовая,прямая,жилой дом,на улице,55.84117,49.158121,,,,,,,,,,,,
Свободного назначения,500,"ул. Карла Маркса, 24с. Большая Атня",https://www.avito.ru/bolshaya_atnya/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7280445824?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,66 м²,1,без отделки,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",56.24892973426135,49.45242284236271,есть,3 м,,,,,,,,8,есть,
"Свободного назначения, 108 м²",200000,"ул. Королёва, 12БЗеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_108_m_7324967784?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,108 м²,1,чистовая,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.856735172480946,48.559439419643354,есть,4 м,60 кВт,автономное,11 мес.,первая линия,возможна,,,10,есть,
Свободного назначения,54230,"ул. Марата Ахметшина, 3с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7281870540?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,63.8 м²,1,без отделки,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.86811829,48.87393188,есть,3 м,"15 кВт, можно увеличить",,,,,,,,есть,
"Казань, 2-я Старо-Аракчинская, д. 11, к. 1, 55 м²",82000,"2-я Старо-Аракчинская ул., 11Бк1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kazan_2-ya_staro-arakchinskaya_d._11_k._1_55_m_7280437112?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,55 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная",55.800453,48.967786,,3.5 м,10 кВт,центральное,11 мес.,первая линия,,,,25,,коммунальные
Помещение 90 м²,95000,"Ягодинская ул., 25Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_90_m_7288025393?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,90 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная",55.813871153890595,49.07787578538894,есть,3.2 м,,,11 мес.,,,,,,есть,
"Торговая площадь, 20 м², высокий трафик",2200,"ул. Академика Лаврентьева, 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_vysokiy_trafik_7278281546?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,20 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.831677270512145,49.15143383068848,есть,3.4 м,"7 кВт, можно увеличить",центральное,2 мес.,первая линия,возможна,,,30,есть,
