title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип сделки,Арендаторы,Тип здания,Парковка,lat,lon,Высота потолков,Мощность электросети,Планировка,Готовность,Класс здания,Отдельный вход,Отопление,Удалённость от дороги,Количество парковочных мест
"Габ Пятерочка, ул. Пограничная",70000000,"Пограничная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_pyaterochka_ul._pogranichnaya_7346322324?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,4 часа назад,со двора,413 м²,1,офисная,продажа,помещение сдано,другой,нет,55.847134,48.893271,,,,,,,,,
Офис,7690000,"ул. Адоратского, 78Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_7353736206?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,6 часов назад,,33 м²,1,офисная,продажа,,бизнес-центр,на улице,55.84494019,49.14818573,2.7 м,15 кВт,кабинетная,в эксплуатации,B,,,,
"Готовый арендный бизнес на трафике, доход 180 и.руб./мес. с ежегодной индексацией",23950000,"Даурская ул., 42АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_na_trafike_dohod_180_i.rub.mes._s_ezhegodnoy_indeksatsiey_7353417002?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,9 часов назад,с улицы,110.6 м²,1,офисная,продажа,,торговый центр,на улице,55.76602,49.181846,,,,,,,,,
Нежилое помещение первая линия,18900000,"ул. Академика Павлова, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/nezhiloe_pomeschenie_pervaya_liniya_7352274416?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,10 часов назад,с улицы,100 м²,1,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.86491013,49.10289383,3 м,15 кВт,,в эксплуатации,,есть,центральное,первая линия,
"Готовый арендный бизнес 40м², Минимальные риски",15700000,"ул. Декабристов, 158АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_40m_minimalnye_riski_7342635263?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,40 м²,1,чистовая,продажа,помещение сдано,другой,на улице,55.83293,49.080776,2.7 м,20 кВт,,в эксплуатации,,,нет,первая линия,370
"Продам складское помещение, 796.5 м²",39000000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_796.5_m_7366107521?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,796.5 м²,1,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4.8 м,50 кВт,,,,есть,,,
"Продам складское помещение, 1848.6 м²",79900000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_1848.6_m_7366196965?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,1848.6 м²,1,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4 м,50 кВт,,,,есть,,,
"Продам складское помещение, 647.4 м²",38000000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_647.4_m_7366221968?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,647.4 м²,1,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4 м,50 кВт,,,,есть,,,
Продаю складское помещение,39000000,"Транспортный пр., 2Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodayu_skladskoe_pomeschenie_7353640207?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,372 м²,1,чистовая,продажа,,другой,на улице,55.717563,52.42206,,,,,,,,,
"Свободное назначение, Лазарева ул., 3",10800000,"ул. Лазарева, 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnoe_naznachenie_lazareva_ul._3_7346276217?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,со двора,47 м²,1,офисная,продажа,,жилой дом,на улице,55.820273,49.049775,,,,,,,,,
Габ 900м2 на 1 линии,36000000,"ул. Азина, 23Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_900m2_na_1_linii_7383434997?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,Вчера,с улицы,900 м²,1,чистовая,продажа,помещение сдано,другой,"на улице, бесплатная, подходит для грузового транспорта",55.87047958,49.24321747,3 м,30 кВт,,в эксплуатации,,есть,центральное,,5
Продам магазин в дачном посёлке,4500000,556садоводческое некоммерческое товарищество Горизонт,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_magazin_v_dachnom_poselke_7353184267?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,75 м²,1,чистовая,продажа,,административное здание,нет,55.699918,49.179384,,,,,,,,,
"Торговое помещение с арендатором, 85.1 м²",330000,"пр-т Ямашева, 54к3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_s_arendatorom_85.1_m_7383797744?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,85.1 м²,1,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.827687,49.129204,3.5 м,,,в эксплуатации,,есть,центральное,первая линия,50
