title,price,address,item_url,date,Вход,Общая площадь,Этаж,Высота потолков,Отделка,Отопление,Тип сделки,Готовность,Тип здания,Класс здания,Парковка,lat,lon,Отдельный вход,Удалённость от дороги,Мощность электросети,Арендаторы,Количество парковочных мест,Планировка
"Склад, 308.2 м²",14300000,"Шоссейная ул., 13д. Яшь Кеч",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_308.2_m_7299056432?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 19:35,с улицы,308.2 м²,1,5 м,чистовая,автономное,продажа,в эксплуатации,другой,A,на улице,55.95539093,49.16049194,,,,,,
"Свободного назначения, 19 м²",6350000,"Чистопольская ул., 61ДКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_19_m_7289383026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 17:31,со двора,19 м²,1,3 м,офисная,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная",55.819975,49.134927,есть,первая линия,,,,
"Помещение 101.4 м² под офис, торговлю, склад",25350000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_101.4_m_pod_ofis_torgovlyu_sklad_7306708851?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 17:29,с улицы,101.4 м²,1,2.8 м,офисная,центральное,продажа,в эксплуатации,торговый центр,,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,есть,первая линия,7 кВт,,,
Продам помещение свободного назначения,9500000,"Хвойная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_pomeschenie_svobodnogo_naznacheniya_7305034901?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 16:51,с улицы,157 м²,1,3 м,чистовая,автономное,продажа,в эксплуатации,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.9095192,49.2283783,есть,первая линия,15 кВт,,,
"ЖК станция спортивная коммерция 78,52кв.м",280000,"Приволжский район, жилой комплекс Станция Спортивная, 2.2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zhk_stantsiya_sportivnaya_kommertsiya_7852kv.m_7285551290?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 16:03,с улицы,78.52 м²,1,3 м,без отделки,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная",55.67917140852924,49.20290637082698,есть,первая линия,,,,
Помещение в новом ЖК,300000,"ул. Родины, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_novom_zhk_7288463180?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:33,с улицы,159.69 м²,1,3.5 м,без отделки,,продажа,,жилой дом,,в здании,55.764379,49.200189,,,,,,
Помещение в ЖК Наследие,71115000,"ул. Родины, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_zhk_nasledie_7288547890?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:33,с улицы,237.05 м²,1,3.5 м,без отделки,,продажа,,жилой дом,,в здании,55.764379,49.200189,,,,,,
Помещение на Родине,510000000,"ул. Родины, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_na_rodine_7288791641?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:33,с улицы,1700 м²,1,3.5 м,без отделки,,продажа,,жилой дом,,в здании,55.764379,49.200189,,,,,,
"Торговая площадь, 67.8 м²",450000,"ул. Фрунзе, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_67.8_m_7271372568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:01,с улицы,67.8 м²,1,3 м,чистовая,центральное,продажа,в эксплуатации,торговый центр,,"на улице, бесплатная",55.824071,49.046442,,первая линия,,помещение сдано,20,
Свободного назначения,5000000,"Кооперативная ул., 2с. Большие Яки",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7289544214?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 09:52,с улицы,200 м²,1,3.5 м,чистовая,автономное,продажа,в эксплуатации,торговый центр,,"на улице, бесплатная",56.02770405462853,48.791799175838406,,первая линия,380 кВт,,20,
