name,length,highway
Вагонная улица,26.686316427743993,residential
Приволжская улица,261.58570924358094,secondary
2-я Старо-Аракчинская улица,53.042586920734706,secondary
2-я Старо-Аракчинская улица,112.37187326690616,secondary
"['Аракчинское шоссе', '2-я Старо-Аракчинская улица']",66.10585118008461,secondary
,125.84229836114285,tertiary
Аракчинское шоссе,92.14227500164029,secondary
,26.324445237408646,secondary
Затонская улица,274.9671291723173,tertiary
Затонская улица,195.50507395411108,secondary
Запрогонная улица,73.2712485662025,residential
Вагонная улица,113.83320758065318,residential
Вагонная улица,72.4240979115306,residential
Приволжская улица,319.24199105627423,secondary
Поперечно-Тальниковая улица,107.80904754463555,residential
Поперечно-Тальниковая улица,68.55505591415614,residential
Тальниковая улица,25.619447163953463,residential
Тальниковая улица,88.88931438489787,residential
,119.96400888098074,unclassified
Новгородская улица,21.123862055415422,residential
Приволжская улица,319.2419910562743,secondary
Приволжская улица,261.58570924358094,secondary
Поперечно-Тальниковая улица,68.55505591415614,residential
Новгородская улица,158.13177892132202,residential
Поперечно-Тальниковая улица,107.80904754463555,residential
Старо-Аракчинская улица,268.8626202270443,residential
Старо-Аракчинская улица,399.5745670102126,residential
,82.95446896041727,residential
Тальниковая улица,88.88931438489787,residential
Затонская улица,274.9671291723173,tertiary
улица Военный 32-й городок,300.78347574882537,"['tertiary', 'residential']"
Новгородская улица,93.31037425337279,residential
Новгородская улица,24.425465131785735,residential
,10.709863611581369,residential
Тальниковая улица,25.619447163953463,residential
Тальниковая улица,129.89785340728298,residential
Поперечно-Тальниковая улица,150.82544331667881,residential
Старо-Аракчинская улица,399.5745670102126,residential
,38.52820494162419,residential
Старо-Аракчинская улица,119.62396272304859,residential
Тальниковая улица,129.89785340728298,residential
Тальниковый переулок,80.08130384893549,residential
Тальниковый переулок,102.45567611594618,residential
Новгородская улица,21.123862055415422,residential
Новгородская улица,24.425465131785735,residential
Новгородский переулок,24.31712420695291,residential
Запрогонная улица,17.741271641253228,residential
Старо-Аракчинская улица,268.8626202270443,residential
Новгородский переулок,236.6160244881861,residential
Вагонная улица,256.27138926247085,residential
Вагонная улица,113.83320758065321,residential
Новгородская улица,158.13177892132202,residential
Новгородская улица,93.31037425337279,residential
Тальниковый переулок,80.08130384893549,residential
Поперечно-Тальниковая улица,150.8254433166788,residential
Вагонная улица,256.27138926247085,residential
2-я Старо-Аракчинская улица,424.7866668792525,secondary
,38.52820494162419,residential
2-я Старо-Аракчинская улица,85.41987745437832,secondary
Затонская улица,31.297863570608932,secondary
Затонская улица,195.50507395411108,secondary
улица Военный 32-й городок,300.02292571166765,residential
улица Военный 32-й городок,526.0966942763616,residential
,125.84229836114285,tertiary
,123.15666674077154,tertiary
улица Военный 32-й городок,526.0966942763617,residential
2-я Старо-Аракчинская улица,53.042586920734706,secondary
2-я Старо-Аракчинская улица,372.2045378635929,secondary
улица Гумера Баширова,246.808737019511,living_street
Тальниковый переулок,102.45567611594618,residential
Аракчинское шоссе,29.82513773441184,secondary
Аракчинское шоссе,92.14227500164029,secondary
улица Гумера Баширова,246.80873701951097,living_street
улица Гумера Баширова,376.8004498386299,residential
улица Гумера Баширова,98.66208717407474,residential
улица Алтын Балык,386.34242935988397,residential
улица Алтын Балык,158.6333949272161,residential
улица Алтын Балык,386.34242935988397,residential
"['улица Су Анасы', 'улица Гумера Баширова']",977.6640455357717,residential
улица Гумера Баширова,64.11988421180814,residential
улица Алтын Балык,158.6333949272161,residential
Корабельная улица,394.82914169051264,residential
Корабельная улица,178.05107485799783,residential
Корабельная улица,394.82914169051264,residential
улица Гумера Баширова,64.11988421180814,residential
улица Гумера Баширова,98.66208717407473,residential
Корабельная улица,178.05107485799783,residential
"['улица Су Анасы', 'улица Гумера Баширова']",977.6640455357718,residential
Новгородский переулок,236.6160244881861,residential
Новгородский переулок,24.31712420695291,residential
,10.709863611581369,residential
Запрогонная улица,17.741271641253228,residential
Запрогонная улица,73.2712485662025,residential
,67.7426685454076,residential
Старо-Аракчинская улица,119.62396272304859,residential
2-я Старо-Аракчинская улица,85.41987745437832,secondary
2-я Старо-Аракчинская улица,112.37187326690616,secondary
,82.95446896041727,residential
2-я Старо-Аракчинская улица,372.20453786359286,secondary
2-я Старо-Аракчинская улица,424.7866668792525,secondary
,29.098451645199198,tertiary
Аракчинское шоссе,42.034612060070614,secondary
Аракчинское шоссе,47.20809036301827,secondary
Аракчинское шоссе,43.61203911695585,secondary
2-я Старо-Аракчинская улица,58.67509174556395,secondary
Затонская улица,10.000528834229506,secondary
Аракчинское шоссе,22.39034624385023,secondary
,123.15666674077154,tertiary
улица Гумера Баширова,376.8004498386299,residential
,646.7634987863468,tertiary
улица Военный 32-й городок,300.02292571166765,residential
улица Военный 32-й городок,300.7834757488254,"['tertiary', 'residential']"
,223.45847490892942,unclassified
,223.45847490892942,unclassified
,26.324445237408646,secondary
Вагонная улица,26.686316427743993,residential
Вагонная улица,72.4240979115306,residential
,67.7426685454076,residential
Затонская улица,18.359877590228376,secondary
Аракчинское шоссе,41.98493459218295,secondary
Затонская улица,28.968277598156725,secondary
